Business,Category,Component,Latitude,Lifeline,Longitude,Source,Lifeline_name,Zipcode
Northwest Volunteer Fire Department,fire department,Fire Services,29.9248691,1,-95.5050779,Google,Saftey & Security,77086
Richmond Fire Department,fire department,Fire Services,29.5813672,1,-95.7596378,Google,Saftey & Security,77406
Cy-Fair Volunteer Fire Department Station 11,fire department,Fire Services,29.9082306,1,-95.6968073,Google,Saftey & Security,77095
Houston Fire Department-Arson Division,fire department,Fire Services,29.769632,1,-95.369665,Google,Saftey & Security,77201
US General Services Administration,government services,Government Services,29.7525543,1,-95.3704013,Google,Saftey & Security,77002
US Marshals Services,government services,Government Services,29.7611259,1,-95.3674576,Google,Saftey & Security,77201
US Customs Services,government services,Government Services,29.7453891,1,-95.4103454,Google,Saftey & Security,77019
US Customs Services,government services,Government Services,29.6408676,1,-95.2779448,Google,Saftey & Security,77061
U.S. Customs and Border Protection - Houston Airport Service Port,government services,Government Services,29.9380721,1,-95.3505345,Google,Saftey & Security,77039
Houston City Secretary,government services,Government Services,29.7607008,1,-95.370064,Google,Saftey & Security,77201
Houston Multi-Services Center,government services,Government Services,29.8042647,1,-95.31655,Google,Saftey & Security,77026
Harris County Community Services Department,government services,Government Services,29.6842536,1,-95.4169758,Google,Saftey & Security,77054
Fort Bend County Building Services,government services,Government Services,29.5813839,1,-95.7625407,Google,Saftey & Security,77406
Harris County Bereavement Services,government services,Government Services,29.8471418,1,-95.3422643,Google,Saftey & Security,77093
US Pretrial Services,government services,Government Services,29.7609918,1,-95.3675482,Google,Saftey & Security,77201
Department of Assistive and Rehabilitative Services,government services,Government Services,29.7139571,1,-95.494664,Google,Saftey & Security,77081
Sugar Land Emergency Med Services,government services,Government Services,29.6037276,1,-95.6369089,Google,Saftey & Security,77478
Metropolitan Multi-Services Center,government services,Government Services,29.7523561,1,-95.4001233,Google,Saftey & Security,77019
Harris County Pretrial Services,government services,Government Services,29.762601,1,-95.358259,Google,Saftey & Security,77201
Department of Rehab Services,government services,Government Services,29.9374443,1,-95.3951137,Google,Saftey & Security,77060
Social Services Department,government services,Government Services,29.6858522,1,-95.1555651,Google,Saftey & Security,77503
Texas Health And Human Services Commission,government services,Government Services,29.6105434,1,-95.2336701,Google,Saftey & Security,77089
Harris County Fleet Services,government services,Government Services,29.7523641,1,-95.349231,Google,Saftey & Security,77003
Dept-Health & Human Services Office,government services,Government Services,29.7519431,1,-95.3738287,Google,Saftey & Security,77002
Minute Maid Park,stadiumsarenas,Shelter,29.75728849,2,-95.35552816,Yelp,"Food, water, sheltering",77010
Toyota Center,stadiumsarenas,Shelter,29.75175,2,-95.36202,Yelp,"Food, water, sheltering",77010
BBVA Stadium,stadiumsarenas,Shelter,29.752236,2,-95.352425,Yelp,"Food, water, sheltering",77003
Houston Food Bank,foodbanks,Food,29.781014,2,-95.274751,Yelp,"Food, water, sheltering",77029
Friends For Life,animalshelters,Shelter,29.80628967,2,-95.39862061,Yelp,"Food, water, sheltering",77008
Dupure,waterpurification,Food,29.93066267,2,-95.54876172,Yelp,"Food, water, sheltering",77064
TDECU Stadium,stadiumsarenas,Shelter,29.7238713,2,-95.3476228,Yelp,"Food, water, sheltering",77021
Wildlife Center of Texas,animalshelters,Shelter,29.7813715,2,-95.441616,Yelp,"Food, water, sheltering",77008
BARC Animal Shelter and Adoptions,animalshelters,Shelter,29.791499,2,-95.343781,Yelp,"Food, water, sheltering",77026
Elite F'ing Meals,fooddeliveryservices,Food,29.86234,2,-95.38415,Yelp,"Food, water, sheltering",77076
Culligan,waterpurification,Food,29.844051,2,-95.513334,Yelp,"Food, water, sheltering",77080
Vital Kitchen,fooddeliveryservices,Food,29.7178766,2,-95.4147568,Yelp,"Food, water, sheltering",77005
Houston SPCA,animalshelters,Shelter,29.7813715,2,-95.441616,Yelp,"Food, water, sheltering",77008
Aqua Systems of Houston,waterpurification,Food,29.7604267,2,-95.3698028,Yelp,"Food, water, sheltering",77201
Bee Fit Foods,fooddeliveryservices,Food,29.680624,2,-95.42374,Yelp,"Food, water, sheltering",77025
Shaggy Dog Rescue,animalshelters,Shelter,29.74146,2,-95.38976,Yelp,"Food, water, sheltering",77006
Pup Squad Animal Rescue,animalshelters,Shelter,29.75712,2,-95.36442,Yelp,"Food, water, sheltering",77010
Jolie Vue Farms,fooddeliveryservices,Food,29.7232,2,-95.429737,Yelp,"Food, water, sheltering",77005
NRG Arena,stadiumsarenas,Shelter,29.681146,2,-95.406024,Yelp,"Food, water, sheltering",77054
Maria's Gourmet Kitchen,fooddeliveryservices,Food,29.68473434,2,-95.43836212,Yelp,"Food, water, sheltering",77025
Scout's Honor Rescue,animalshelters,Shelter,29.75516,2,-95.39842,Yelp,"Food, water, sheltering",77019
Reckling Park,stadiumsarenas,Shelter,29.712471,2,-95.4033966,Yelp,"Food, water, sheltering",77030
NRG Arena,stadiumsarenas,Shelter,29.681185,2,-95.405938,Yelp,"Food, water, sheltering",77054
Houston Water Solutions,waterpurification,Food,29.85185,2,-95.53655,Yelp,"Food, water, sheltering",77040
Fertitta Center,stadiumsarenas,Shelter,29.724757,2,-95.346949,Yelp,"Food, water, sheltering",77003
My IceBox,fooddeliveryservices,Food,29.77874565,2,-95.54007721,Yelp,"Food, water, sheltering",77080
Mirex Aquapure Solutions,waterpurification,Food,29.80634308,2,-95.46841431,Yelp,"Food, water, sheltering",77092
Dhaniya's,fooddeliveryservices,Food,29.83457947,2,-95.41005707,Yelp,"Food, water, sheltering",77018
Darryl & Lori Schroeder Park,stadiumsarenas,Shelter,29.72743352,2,-95.35024524,Yelp,"Food, water, sheltering",77003
Promeals,fooddeliveryservices,Food,29.76613998,2,-95.36488342,Yelp,"Food, water, sheltering",77201
Water Tree Hwy 6,waterpurification,Food,29.8679462,2,-95.6450022,Yelp,"Food, water, sheltering",77084
Eve's Organix,fooddeliveryservices,Food,29.72509575,2,-95.36199188,Yelp,"Food, water, sheltering",77004
Sir Lawrence's Cakes,fooddeliveryservices,Food,29.82681465,2,-95.42551422,Yelp,"Food, water, sheltering",77018
Healthy Gourmet Your Way,fooddeliveryservices,Food,29.759956,2,-95.362534,Yelp,"Food, water, sheltering",77201
"Miniature Schnauzer Rescue of Houston, Inc.",animalshelters,Shelter,29.7601927,2,-95.3693896,Yelp,"Food, water, sheltering",77201
LifeSource Water Systems,waterpurification,Food,29.76613998,2,-95.36488342,Yelp,"Food, water, sheltering",77201
Finnigan Park,communitycenters,Shelter,29.7700587,2,-95.31975724,Yelp,"Food, water, sheltering",77020
Rotizen,fooddeliveryservices,Food,29.73871681,2,-95.3708743,Yelp,"Food, water, sheltering",77002
Nuvia Water Technologies,waterpurification,Food,29.72096,2,-95.55077,Yelp,"Food, water, sheltering",77042
Hofheinz Pavilion,stadiumsarenas,Shelter,29.7239065,2,-95.3472346,Yelp,"Food, water, sheltering",77003
AthlEAT Meals,fooddeliveryservices,Food,29.76555,2,-95.40912,Yelp,"Food, water, sheltering",77007
Tudor Fieldhouse,stadiumsarenas,Shelter,29.71494079,2,-95.40371815,Yelp,"Food, water, sheltering",77030
Dachshund Rescue of Houston,animalshelters,Shelter,29.763056,2,-95.363056,Yelp,"Food, water, sheltering",77201
Houston Food Bank Teacher's Aid,foodbanks,Food,29.77928211,2,-95.27991202,Yelp,"Food, water, sheltering",77029
Sparkletts Water,waterdelivery,Food,29.95535088,2,-95.48867035,Yelp,"Food, water, sheltering",77066
R & S Water Service,waterpurification,Food,29.59906,2,-95.51845,Yelp,"Food, water, sheltering",77489
Veganish,fooddeliveryservices,Food,29.76613998,2,-95.36488342,Yelp,"Food, water, sheltering",77201
Rice Stadium,stadiumsarenas,Shelter,29.69110388,2,-95.41725622,Yelp,"Food, water, sheltering",77054
AMAC Water Products,waterdelivery,Food,29.87608,2,-95.581252,Yelp,"Food, water, sheltering",77041
Superior Water Quality,waterpurification,Food,29.71742,2,-95.54244,Yelp,"Food, water, sheltering",77042
Water Tree Richmond,waterpurification,Food,29.70922905,2,-95.68606988,Yelp,"Food, water, sheltering",77083
Big Tex Papas,fooddeliveryservices,Food,29.6911047,2,-95.202927,Yelp,"Food, water, sheltering",77502
Ecowater System,waterpurification,Food,29.9335702,2,-95.5494424,Yelp,"Food, water, sheltering",77064
Carl Lewis International Track & Field Complex,stadiumsarenas,Shelter,29.72607237,2,-95.34777693,Yelp,"Food, water, sheltering",77003
Rayne Water Solutions Of Houston,waterpurification,Food,29.6773564,2,-95.3998379,Yelp,"Food, water, sheltering",77054
The Hippo Kitchen,fooddeliveryservices,Food,29.7765065,2,-95.4201377,Yelp,"Food, water, sheltering",77007
Lone Star Water,waterpurification,Food,29.81959,2,-95.57188,Yelp,"Food, water, sheltering",77043
Delmar Stadium,stadiumsarenas,Shelter,29.802793,2,-95.457139,Yelp,"Food, water, sheltering",77092
Water Tree Heights,waterstores,Food,29.77157,2,-95.39676,Yelp,"Food, water, sheltering",77007
ReadyRefresh,waterdelivery,Food,29.66908,2,-95.40514,Yelp,"Food, water, sheltering",77054
Gourmet Prep Meals,fooddeliveryservices,Food,29.83458,2,-95.41006,Yelp,"Food, water, sheltering",77018
Sunnyside Community Center & Park,communitycenters,Shelter,29.66905182,2,-95.37225694,Yelp,"Food, water, sheltering",77051
Harris County Houston Sports Authority,stadiumsarenas,Shelter,29.7545745,2,-95.3625427,Yelp,"Food, water, sheltering",77010
Blue Apron,fooddeliveryservices,Food,29.75730705,2,-95.36518097,Yelp,"Food, water, sheltering",77010
Aqua Vida Water,waterpurification,Food,29.91039,2,-95.5681199,Yelp,"Food, water, sheltering",77064
RAD Meals,fooddeliveryservices,Food,29.806213,2,-95.4086609,Yelp,"Food, water, sheltering",77008
Clean Water Solutions,waterpurification,Food,29.74722481,2,-95.45152283,Yelp,"Food, water, sheltering",77027
Goodfor Texas Water Purification,waterpurification,Food,29.73356,2,-95.42271,Yelp,"Food, water, sheltering",77098
Houston Astros Baseball Club,stadiumsarenas,Shelter,29.76527214,2,-95.36576843,Yelp,"Food, water, sheltering",77201
Absolutely Alkaline H2O,waterdelivery,Food,29.6984215,2,-95.3864912,Yelp,"Food, water, sheltering",77004
Fresh Diet,fooddeliveryservices,Food,29.75804329,2,-95.36141205,Yelp,"Food, water, sheltering",77010
P.Za Kitchen,fooddeliveryservices,Food,29.72027588,2,-95.42073822,Yelp,"Food, water, sheltering",77005
Texas BBQ Services,fooddeliveryservices,Food,29.800062,2,-95.567668,Yelp,"Food, water, sheltering",77043
Texas Water Softeners,waterpurification,Food,29.77617214,2,-95.7502833,Yelp,"Food, water, sheltering",77450
Texas Quality Water,waterpurification,Food,29.563195,2,-95.143541,Yelp,"Food, water, sheltering",77062
Everwell,waterpurification,Food,30.31661,2,-95.45615,Yelp,"Food, water, sheltering",77301
Richtop Mobile Grocery,fooddeliveryservices,Food,29.67577171,2,-95.41912842,Yelp,"Food, water, sheltering",77054
Infinity Water Systems,waterpurification,Food,30.024206,2,-95.694847,Yelp,"Food, water, sheltering",77377
Ace Water Purification,waterpurification,Food,29.751278,2,-95.831777,Yelp,"Food, water, sheltering",77494
Natural Spring Water Filtration,waterpurification,Food,29.64766,2,-95.678551,Yelp,"Food, water, sheltering",77498
HydroCleanH2O,waterpurification,Food,29.9147118,2,-95.7134967,Yelp,"Food, water, sheltering",77433
Sparkletts Water,waterdelivery,Food,29.73648,2,-95.7772,Yelp,"Food, water, sheltering",77450
Food Truck Delivery,fooddeliveryservices,Food,30.15752,2,-95.45578,Yelp,"Food, water, sheltering",77380
Ballard Water Well Co,waterpurification,Food,30.44231,2,-95.44256,Yelp,"Food, water, sheltering",77303
Citizens For Animal Protection,animalshelters,Shelter,29.7836365,2,-95.6846234,Google,"Food, water, sheltering",77094
Pasadena Animal Shelter,animalshelters,Shelter,29.6337886,2,-95.18164,Google,"Food, water, sheltering",77504
Special Pals,animalshelters,Shelter,29.8279294,2,-95.702105,Google,"Food, water, sheltering",77449
Sugar Land Animal Services,animalshelters,Shelter,29.6251836,2,-95.6152339,Google,"Food, water, sheltering",77478
BARC Animal Shelter and Adoptions,animalshelters,Shelter,29.7921432,2,-95.3446867,Google,"Food, water, sheltering",77009
City of Pearland Animal Services,animalshelters,Shelter,29.571776,2,-95.278163,Google,"Food, water, sheltering",77581
La Porte Animal Shelter,animalshelters,Shelter,29.6652134,2,-95.0629495,Google,"Food, water, sheltering",77571
South Houston Animal Shelter,animalshelters,Shelter,29.6702409,2,-95.2366349,Google,"Food, water, sheltering",77587
Bayou Animal Services,animalshelters,Shelter,29.4715152,2,-95.0535266,Google,"Food, water, sheltering",77573
Annie's Angels Texas Rescue,animalshelters,Shelter,29.6389738,2,-95.5490461,Google,"Food, water, sheltering",77477
Bay Area Pet Adoptions,animalshelters,Shelter,29.4758365,2,-94.9779936,Google,"Food, water, sheltering",77539
Seabrook Animal Shelter,animalshelters,Shelter,29.5846795,2,-95.0151381,Google,"Food, water, sheltering",77586
Houston Humane Society,animalshelters,Shelter,29.5911777,2,-95.4290899,Google,"Food, water, sheltering",77053
Friends For Life,animalshelters,Shelter,29.8061058,2,-95.3986651,Google,"Food, water, sheltering",77008
Veterinary Public Health,animalshelters,Shelter,29.8744053,2,-95.3742534,Google,"Food, water, sheltering",77076
League City Animal Control,animalshelters,Shelter,29.5164322,2,-95.0927594,Google,"Food, water, sheltering",77573
Miniature Schnauzer Rescue of Houston,animalshelters,Shelter,30.0132666,2,-95.4591351,Google,"Food, water, sheltering",77090
Missouri City Animal Shelter,animalshelters,Shelter,29.6052629,2,-95.5312296,Google,"Food, water, sheltering",77489
Sagemont Park Community Center,communitycenters,Shelter,29.5999026,2,-95.2170033,Google,"Food, water, sheltering",77089
Kingwood Community Center,communitycenters,Shelter,30.0544559,2,-95.1850921,Google,"Food, water, sheltering",77345
Richard & Meg Weekley Community Center,communitycenters,Shelter,29.9001285,2,-95.7042056,Google,"Food, water, sheltering",77095
Hackberry Community Center,communitycenters,Shelter,29.693084,2,-95.6034068,Google,"Food, water, sheltering",77072
Juergen's Hall Community Center,communitycenters,Shelter,29.9703271,2,-95.6985595,Google,"Food, water, sheltering",77429
Clear Lake City Community Association,communitycenters,Shelter,29.5602827,2,-95.1200111,Google,"Food, water, sheltering",77058
Pep Mueller Community Center,communitycenters,Shelter,29.9146585,2,-95.3811488,Google,"Food, water, sheltering",77037
Mangum-Howell Center,communitycenters,Shelter,29.922105,2,-95.4559343,Google,"Food, water, sheltering",77038
BakerRipley Gulfton Sharpstown Campus,communitycenters,Shelter,29.7108426,2,-95.4978141,Google,"Food, water, sheltering",77081
Alvin D. Baggett Community Center,communitycenters,Shelter,29.7421254,2,-95.2368597,Google,"Food, water, sheltering",77547
Tidwell Community Center,communitycenters,Shelter,29.851429,2,-95.3040349,Google,"Food, water, sheltering",77016
Alief Community Center,communitycenters,Shelter,29.7027995,2,-95.5888478,Google,"Food, water, sheltering",77072
Missouri City Community Center,communitycenters,Shelter,29.6053799,2,-95.5292848,Google,"Food, water, sheltering",77489
Emancipation Community Center,communitycenters,Shelter,29.7357077,2,-95.3643926,Google,"Food, water, sheltering",77002
Charlton Community Center,communitycenters,Shelter,29.6876791,2,-95.273939,Google,"Food, water, sheltering",77017
Riley Chambers Community Center,communitycenters,Shelter,29.8672658,2,-95.0750325,Google,"Food, water, sheltering",77562
North East Community Center,communitycenters,Shelter,29.874297,2,-95.3351747,Google,"Food, water, sheltering",77093
Lakewood Community Center,communitycenters,Shelter,29.8405462,2,-95.26774,Google,"Food, water, sheltering",77078
Mason Community Center,communitycenters,Shelter,29.7237081,2,-95.2946102,Google,"Food, water, sheltering",77023
Marian Park Community Center,communitycenters,Shelter,29.6596247,2,-95.5232353,Google,"Food, water, sheltering",77071
The Life Center for the Homeless,homelessshelters,Shelter,29.831798,2,-95.4026064,Google,"Food, water, sheltering",77022
Star of Hope,homelessshelters,Shelter,29.7605512,2,-95.3514427,Google,"Food, water, sheltering",77010
SEARCH Homeless Services,homelessshelters,Shelter,29.756918,2,-95.351359,Google,"Food, water, sheltering",77003
Star Of Hope,homelessshelters,Shelter,29.657786,2,-95.393674,Google,"Food, water, sheltering",77051
Star of Hope - Women & Family Emergency Shelter,homelessshelters,Shelter,29.7533862,2,-95.3490884,Google,"Food, water, sheltering",77003
Spirit Key Inc.,homelessshelters,Shelter,29.9322442,2,-95.4800575,Google,"Food, water, sheltering",77086
Sonrise Shelter,homelessshelters,Shelter,29.8914883,2,-95.3081533,Google,"Food, water, sheltering",77016
Cornerstone Community Campus,homelessshelters,Shelter,29.6579444,2,-95.3916625,Google,"Food, water, sheltering",77051
Red Shield Lodge,homelessshelters,Shelter,29.7815685,2,-95.3649813,Google,"Food, water, sheltering",77009
Bay Area Homeless Services,homelessshelters,Shelter,29.7294493,2,-95.0083808,Google,"Food, water, sheltering",77520
Star of Hope Men's Shelter Entrance,homelessshelters,Shelter,29.7605468,2,-95.3514872,Google,"Food, water, sheltering",77010
Wheel House,homelessshelters,Shelter,29.6982321,2,-95.1249631,Google,"Food, water, sheltering",77536
Bay Area Turning Point,homelessshelters,Shelter,29.533515,2,-95.1214328,Google,"Food, water, sheltering",77598
Turning Point Center,homelessshelters,Shelter,29.800064,2,-95.481303,Google,"Food, water, sheltering",77055
Covenant House Texas,homelessshelters,Shelter,29.743097,2,-95.392912,Google,"Food, water, sheltering",77006
Open Door Mission,homelessshelters,Shelter,29.7404442,2,-95.3171141,Google,"Food, water, sheltering",77011
The Beacon,homelessshelters,Shelter,29.7590984,2,-95.359581,Google,"Food, water, sheltering",77010
Volunteers of America,homelessshelters,Shelter,29.8114008,2,-95.3207126,Google,"Food, water, sheltering",77026
Sarah's House,homelessshelters,Shelter,29.6733891,2,-95.2021576,Google,"Food, water, sheltering",77502
A Caring Safe Place Inc.,homelessshelters,Shelter,29.777751,2,-95.344558,Google,"Food, water, sheltering",77201
"Aquamundo, Llc & Aquamundo Alkaline Water Store",waterpurification,Food,29.8041372,2,-95.4856291,Google,"Food, water, sheltering",77055
East water purification plant,waterpurification,Food,29.7466762,2,-95.2131461,Google,"Food, water, sheltering",77547
Aqua General Inc,waterpurification,Food,29.6769217,2,-95.399229,Google,"Food, water, sheltering",77054
Northeast Water Purification Plant (NEWPP),waterpurification,Food,29.933747,2,-95.197667,Google,"Food, water, sheltering",77044
Southeast Water Purification Plant City of Houston,waterpurification,Food,29.6281963,2,-95.1500893,Google,"Food, water, sheltering",77505
Rainbow Water Purification,waterpurification,Food,29.9470667,2,-95.5592015,Google,"Food, water, sheltering",77064
MECO,waterpurification,Food,29.6379027,2,-95.5817207,Google,"Food, water, sheltering",77477
Clean Water Solutions,waterpurification,Food,29.7470131,2,-95.4865194,Google,"Food, water, sheltering",77057
Eco Residential,waterpurification,Food,29.5821811,2,-95.7607832,Google,"Food, water, sheltering",77406
AtmoSpark Technologies,waterpurification,Food,29.7613625,2,-95.4791738,Google,"Food, water, sheltering",77056
Yaia Water,waterpurification,Food,29.7967984,2,-95.4113658,Google,"Food, water, sheltering",77008
Ultra Pure Solutions,waterpurification,Food,29.7477174,2,-95.3572785,Google,"Food, water, sheltering",77010
"Ultrapure & Industrial Services, LLC.",waterpurification,Food,29.770742,2,-95.276645,Google,"Food, water, sheltering",77029
Pure Water Solutions,waterpurification,Food,29.6534442,2,-95.2427992,Google,"Food, water, sheltering",77587
Newport Surface H2O Plant,waterpurification,Food,29.9257489,2,-95.0894091,Google,"Food, water, sheltering",77044
Drinking Water Solution,waterpurification,Food,29.6374526,2,-95.5425823,Google,"Food, water, sheltering",77477
Aqua Life of Houston,waterpurification,Food,29.7909654,2,-95.7170195,Google,"Food, water, sheltering",77094
SpaceWater Systems,waterpurification,Food,29.849027,2,-95.494424,Google,"Food, water, sheltering",77092
Genesis water industries,waterpurification,Food,29.7836331,2,-95.5936494,Google,"Food, water, sheltering",77079
Hydrosolaeris,waterpurification,Food,29.9931063,2,-95.4900634,Google,"Food, water, sheltering",77068
Houston Food Bank,foodbanks,Food,29.7810067,2,-95.2747503,Google,"Food, water, sheltering",77029
North Channel Assistance Ministries Food Pantry,foodbanks,Food,29.7763886,2,-95.1785138,Google,"Food, water, sheltering",77015
African/American Fellowship Foodbank,foodbanks,Food,29.6020428,2,-95.5064603,Google,"Food, water, sheltering",77489
Love In Action Church,foodbanks,Food,29.6880741,2,-95.3901618,Google,"Food, water, sheltering",77054
Faith Center,foodbanks,Food,29.7149517,2,-95.5486156,Google,"Food, water, sheltering",77042
City Park Food & Beverage Services,foodbanks,Food,29.7404196,2,-95.3438069,Google,"Food, water, sheltering",77003
Faith Center - Food Pantry & Clothes Closet,foodbanks,Food,29.8035925,2,-95.49345,Google,"Food, water, sheltering",77055
Heights Interfaith Ministries Food Pantry,foodbanks,Food,29.7897141,2,-95.3745733,Google,"Food, water, sheltering",77009
East Spring Branch Food Pantry,foodbanks,Food,29.794392,2,-95.485748,Google,"Food, water, sheltering",77055
Alvin Community Food Pantry,foodbanks,Food,29.412922,2,-95.253624,Google,"Food, water, sheltering",77517
Servant of Nations,foodbanks,Food,29.7296952,2,-95.4998884,Google,"Food, water, sheltering",77063
CAM Food Pantry,foodbanks,Food,29.938163,2,-95.629226,Google,"Food, water, sheltering",77065
Southeast Area Ministries,foodbanks,Food,29.657299,2,-95.230572,Google,"Food, water, sheltering",77587
St. Vincent De Paul Catholic Church,foodbanks,Food,29.7055981,2,-95.4279539,Google,"Food, water, sheltering",77005
"Rescue Bank, a Program of GreaterGood.org",foodbanks,Food,29.7836363,2,-95.5936667,Google,"Food, water, sheltering",77079
Avalos Claudia,foodbanks,Food,29.7201457,2,-95.49932,Google,"Food, water, sheltering",77081
West Houston Assistance Ministries,foodbanks,Food,29.7307447,2,-95.5603333,Google,"Food, water, sheltering",77042
Spring Woodlands Church,foodbanks,Food,30.0803825,2,-95.4253348,Google,"Food, water, sheltering",77373
Ozarka Bottled Water Delivery Houston,waterdelivery,Food,29.6690856,2,-95.4048573,Google,"Food, water, sheltering",77054
Gladden Bottled Water Delivery Houston,waterdelivery,Food,29.7458251,2,-95.4578779,Google,"Food, water, sheltering",77027
Harris-Galveston Subsidence District,watersuppliers,Water Infrastructure,29.5381653,2,-95.1524169,Google,"Food, water, sheltering",77598
SignatureCare Emergency Center - The Heights,emergencyrooms,Public Health,29.80113305,3,-95.42545706,Yelp,Health and medical,77008
Elite Care 24 Hour Emergency Center,emergencyrooms,Public Health,29.71787,3,-95.41747,Yelp,Health and medical,77005
Advanced Asthma & Allergy Center,medcenters,Public Health,29.70435,3,-95.44079,Yelp,Health and medical,77005
Memorial Heights Emergency Center,emergencyrooms,Public Health,29.770388,3,-95.401565,Yelp,Health and medical,77007
MD Anderson Cancer Center,hospitals,Public Health,29.70757333,3,-95.39639833,Yelp,Health and medical,77030
Texas Medical Center,medcenters,Public Health,29.7104304,3,-95.39762818,Yelp,Health and medical,77030
Texas Children's Hospital - Main Campus,hospitals,Public Health,29.707751,3,-95.401635,Yelp,Health and medical,77030
Houston Methodist Hospital,hospitals,Public Health,29.7101567,3,-95.4002369,Yelp,Health and medical,77030
